gameId,gameDate,mP_ev,mP_pp,mP_sh,iFW_ev,iFW_pp,iFW_sh,oFW_ev,oFW_pp,oFW_sh,iFL_ev,iFL_pp,iFL_sh,oFL_ev,oFL_pp,oFL_sh,iHG_ev,iHG_pp,iHG_sh,oHG_ev,oHG_pp,oHG_sh,iHT_ev,iHT_pp,iHT_sh,oHT_ev,oHT_pp,oHT_sh,iTW_ev,iTW_pp,iTW_sh,oTW_ev,oTW_pp,oTW_sh,iGW_ev,iGW_pp,iGW_sh,oGW_ev,oGW_pp,oGW_sh,iMD_ev,iMD_pp,iMD_sh,iMC_ev,iMC_pp,iMC_sh,iCF_ev,iCF_pp,iCF_sh,oCF_ev,oCF_pp,oCF_sh,oCA_ev,oCA_pp,oCA_sh,iFF_ev,iFF_pp,iFF_sh,oFF_ev,oFF_pp,oFF_sh,oFA_ev,oFA_pp,oFA_sh,iSF_ev,iSF_pp,iSF_sh,oSF_ev,oSF_pp,oSF_sh,oSA_ev,oSA_pp,oSA_sh,iGF_ev,iGF_pp,iGF_sh,oGF_ev,oGF_pp,oGF_sh,oGA_ev,oGA_pp,oGA_sh,iAPF_ev,iAPF_pp,iAPF_sh,oAPF_ev,oAPF_pp,oAPF_sh,oAPA_ev,oAPA_pp,oAPA_sh,iASF_ev,iASF_pp,iASF_sh,oASF_ev,oASF_pp,oASF_sh,oASA_ev,oASA_pp,oASA_sh,iRSF_ev,iRSF_pp,iRSF_sh,oRSF_ev,oRSF_pp,oRSF_sh,oRSA_ev,oRSA_pp,oRSA_sh,iRBF_ev,iRBF_pp,iRBF_sh,oRBF_ev,oRBF_pp,oRBF_sh,oRBA_ev,oRBA_pp,oRBA_sh,iRCF_ev,iRCF_pp,iRCF_sh,oRCF_ev,oRCF_pp,oRCF_sh,oRCA_ev,oRCA_pp,oRCA_sh
2014020012,2014-10-09,10.25,5.383333333333334,1.4,0,0,0,5,0,0,0,0,0,7,4,0,0,0,0,4,0,0,2,0,0,4,2,0,2,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,7,4,0,14,2,2,0,1,0,5,1,0,11,2,1,0,0,0,4,0,0,7,2,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2014020021,2014-10-11,13.916666666666666,2.183333333333333,0.21666666666666667,0,0,0,6,1,0,0,0,0,10,3,1,1,0,0,6,0,0,2,0,0,7,0,0,0,0,0,2,0,0,0,0,0,4,1,0,0,0,0,0,0,0,2,0,0,8,3,0,14,0,2,2,0,0,7,3,0,13,0,2,2,0,0,7,3,0,9,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0
2014020037,2014-10-13,12.283333333333333,3.0166666666666666,0,0,0,0,6,4,0,0,0,0,5,2,0,4,0,0,13,1,0,5,0,0,13,2,0,2,0,0,2,0,0,2,0,0,2,0,0,0,0,2,2,0,0,1,1,0,3,6,0,16,2,0,1,1,0,2,3,0,13,1,0,1,1,0,2,3,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2014020054,2014-10-16,11,3.9833333333333334,0.25,0,0,0,4,5,0,0,0,0,5,0,0,2,1,0,8,2,0,1,0,0,5,0,0,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,3,0,6,5,0,12,1,1,4,2,0,5,2,0,8,1,1,4,1,0,5,1,0,7,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014020065,2014-10-18,13.45,1.45,0,0,0,0,10,1,0,0,0,0,3,2,0,1,0,0,5,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,5,0,0,0,0,0,2,0,0,4,0,0,12,2,0,25,0,0,2,0,0,9,2,0,22,0,0,2,0,0,7,1,0,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
2014020109,2014-10-25,12.783333333333333,4.483333333333333,0.9333333333333333,0,0,0,6,1,1,0,0,0,5,2,1,3,0,0,10,0,0,0,0,0,5,1,0,1,0,0,1,0,0,0,0,0,2,0,0,4,0,0,0,0,0,5,2,0,16,10,0,14,0,0,3,2,0,12,5,0,9,0,0,2,2,0,10,4,0,5,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,2,0,0,2,0,0
2014020119,2014-10-26,12.383333333333333,4.15,3.1,0,0,0,5,2,1,0,0,0,6,4,2,0,1,1,7,1,3,0,0,0,6,1,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,1,1,15,10,1,15,1,4,1,1,1,12,8,1,13,1,4,1,1,0,9,8,0,13,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,2,0,1
2014020128,2014-10-28,15.316666666666666,4,0.2,0,0,0,8,4,0,0,0,0,9,1,0,1,0,0,4,0,0,0,1,0,11,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,20,5,0,16,0,0,5,1,0,16,4,0,15,0,0,5,1,0,14,2,0,8,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2014020141,2014-10-30,13.633333333333333,4.266666666666667,0,0,0,0,4,1,0,0,0,0,7,5,0,0,0,0,1,2,0,0,0,0,4,0,0,0,1,0,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,4,0,0,16,5,0,13,1,0,4,0,0,12,4,0,9,1,0,3,0,0,7,2,0,6,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2014020153,2014-11-01,15,0.9333333333333333,0.4,0,0,0,5,0,0,0,0,0,10,0,0,4,0,0,12,0,0,2,0,0,5,1,0,0,0,0,1,0,0,1,0,0,3,1,0,0,0,0,0,0,0,3,1,0,12,1,0,13,0,0,1,1,0,6,1,0,11,0,0,1,1,0,5,1,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014020178,2014-11-04,15.2,3.783333333333333,0,0,0,0,6,2,0,0,0,0,7,4,0,3,0,0,8,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,4,0,0,2,0,0,0,0,0,3,1,0,12,11,0,19,0,0,2,1,0,9,8,0,14,0,0,1,1,0,6,5,0,12,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,3,0,0
2014020189,2014-11-06,12.533333333333333,4.566666666666666,0,0,0,0,5,0,0,0,0,0,2,2,0,2,0,0,12,1,0,1,0,0,7,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,9,4,0,11,0,0,2,0,0,6,3,0,8,0,0,1,0,0,5,1,0,7,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014020089,2014-11-09,14.016666666666667,3.2,0.6166666666666667,0,0,1,7,1,1,0,0,0,6,0,0,1,1,0,8,1,0,2,0,0,9,1,0,2,0,0,2,0,0,1,0,0,1,0,0,0,0,0,2,0,0,5,1,0,21,3,0,10,2,3,4,1,0,15,3,0,9,2,3,3,1,0,14,2,0,7,1,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1
