gameId,gameDate,mP_ev,mP_pp,mP_sh,iFW_ev,iFW_pp,iFW_sh,oFW_ev,oFW_pp,oFW_sh,iFL_ev,iFL_pp,iFL_sh,oFL_ev,oFL_pp,oFL_sh,iHG_ev,iHG_pp,iHG_sh,oHG_ev,oHG_pp,oHG_sh,iHT_ev,iHT_pp,iHT_sh,oHT_ev,oHT_pp,oHT_sh,iTW_ev,iTW_pp,iTW_sh,oTW_ev,oTW_pp,oTW_sh,iGW_ev,iGW_pp,iGW_sh,oGW_ev,oGW_pp,oGW_sh,iMD_ev,iMD_pp,iMD_sh,iMC_ev,iMC_pp,iMC_sh,iCF_ev,iCF_pp,iCF_sh,oCF_ev,oCF_pp,oCF_sh,oCA_ev,oCA_pp,oCA_sh,iFF_ev,iFF_pp,iFF_sh,oFF_ev,oFF_pp,oFF_sh,oFA_ev,oFA_pp,oFA_sh,iSF_ev,iSF_pp,iSF_sh,oSF_ev,oSF_pp,oSF_sh,oSA_ev,oSA_pp,oSA_sh,iGF_ev,iGF_pp,iGF_sh,oGF_ev,oGF_pp,oGF_sh,oGA_ev,oGA_pp,oGA_sh,iAPF_ev,iAPF_pp,iAPF_sh,oAPF_ev,oAPF_pp,oAPF_sh,oAPA_ev,oAPA_pp,oAPA_sh,iASF_ev,iASF_pp,iASF_sh,oASF_ev,oASF_pp,oASF_sh,oASA_ev,oASA_pp,oASA_sh,iRSF_ev,iRSF_pp,iRSF_sh,oRSF_ev,oRSF_pp,oRSF_sh,oRSA_ev,oRSA_pp,oRSA_sh,iRBF_ev,iRBF_pp,iRBF_sh,oRBF_ev,oRBF_pp,oRBF_sh,oRBA_ev,oRBA_pp,oRBA_sh,iRCF_ev,iRCF_pp,iRCF_sh,oRCF_ev,oRCF_pp,oRCF_sh,oRCA_ev,oRCA_pp,oRCA_sh
2018021075,2019-03-12,17.533333333333335,0,0,0,0,0,10,0,0,0,0,0,8,0,0,0,0,0,4,0,0,4,0,0,9,0,0,0,0,0,3,0,0,2,0,0,7,0,0,0,0,0,0,0,0,6,0,0,19,0,0,15,0,0,4,0,0,10,0,0,10,0,0,3,0,0,7,0,0,5,0,0,1,0,0,2,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,1,0,0,1,0,0,2,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2018021084,2019-03-14,21.5,0.23333333333333334,0,0,0,0,9,0,0,0,0,0,8,1,0,1,0,0,12,0,0,6,0,0,14,0,0,1,0,0,3,0,0,0,0,0,6,0,0,0,0,0,2,0,0,8,0,0,27,0,0,29,0,0,5,0,0,23,0,0,21,0,0,5,0,0,17,0,0,17,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,1,0,0,5,0,0,0,0,0,1,0,0,5,0,0
2018021103,2019-03-16,18.566666666666666,0.3333333333333333,0,0,0,0,5,0,0,0,0,0,8,0,0,2,0,0,9,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,1,0,5,1,0,0,0,0,0,0,0,1,0,0,23,1,0,15,0,0,1,0,0,15,0,0,11,0,0,0,0,0,11,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2018021125,2019-03-19,21.283333333333335,0,0,0,0,0,11,0,0,0,0,0,10,0,0,3,0,0,11,0,0,2,0,0,10,0,0,0,0,0,3,0,0,3,0,0,4,0,0,0,0,0,0,0,0,5,0,0,23,0,0,22,0,0,4,0,0,18,0,0,13,0,0,2,0,0,15,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,2,0,0,1,0,0,1,0,0,2,0,0,1,0,0
2018021139,2019-03-21,18.1,0,0,0,0,0,9,0,0,0,0,0,7,0,0,0,0,0,12,0,0,4,0,0,11,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,19,0,0,19,0,0,0,0,0,13,0,0,12,0,0,0,0,0,10,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0
2018021155,2019-03-23,18.5,0,0,0,0,0,13,0,0,0,0,0,8,0,0,1,0,0,10,0,0,0,0,0,2,0,0,1,0,0,2,0,0,1,0,0,11,0,0,0,0,0,0,0,0,4,0,0,18,0,0,20,0,0,3,0,0,14,0,0,17,0,0,3,0,0,12,0,0,11,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2018021166,2019-03-24,18.95,0.16666666666666666,0.18333333333333332,0,0,0,9,0,0,0,0,0,12,1,0,1,0,0,8,0,0,2,0,0,11,0,0,0,0,0,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,22,0,0,27,0,0,2,0,0,20,0,0,19,0,0,2,0,0,13,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,3,0,0,0,0,0,2,0,0,3,0,0
2018021180,2019-03-26,18.916666666666668,0,0.2,0,0,0,7,0,0,0,0,0,16,0,0,3,0,0,7,0,0,1,0,0,6,0,0,1,0,0,2,0,0,2,0,0,6,0,0,0,0,0,0,0,0,7,0,0,27,0,0,17,0,0,4,0,0,15,0,0,11,0,0,4,0,0,12,0,0,7,0,0,1,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,4,0,0,1,0,0,1,0,0,4,0,0,1,0,0
2018021191,2019-03-28,18.183333333333334,0.26666666666666666,0,0,0,0,11,0,0,0,0,0,12,0,0,3,0,0,6,1,0,1,0,0,14,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,16,0,0,12,0,0,3,0,0,13,0,0,10,0,0,3,0,0,13,0,0,9,0,0,1,0,0,2,0,0,2,0,0,0,0,0,2,0,0,2,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2018021209,2019-03-30,21.983333333333334,0,0,0,0,0,10,0,0,0,0,0,10,0,0,1,0,0,6,0,0,3,0,0,17,0,0,0,0,0,0,0,0,2,0,0,11,0,0,0,0,0,0,0,0,6,0,0,23,0,0,17,0,0,4,0,0,20,0,0,14,0,0,3,0,0,18,0,0,10,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,6,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2018021232,2019-04-02,21.766666666666666,0,0,0,0,0,14,0,0,0,0,0,5,0,0,4,0,0,18,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,39,0,0,16,0,0,5,0,0,30,0,0,11,0,0,2,0,0,18,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0
2018021246,2019-04-04,22,0,0,0,0,0,9,0,0,0,0,0,8,0,0,4,0,0,10,0,0,4,0,0,20,0,0,0,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0,0,2,0,0,28,0,0,20,0,0,2,0,0,21,0,0,17,0,0,0,0,0,12,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,1,0,0
2018021259,2019-04-06,22.95,0,0,0,0,0,15,0,0,0,0,0,10,0,0,5,0,0,11,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,9,0,0,0,0,0,0,0,0,2,0,0,28,0,0,33,0,0,2,0,0,25,0,0,24,0,0,2,0,0,22,0,0,20,0,0,0,0,0,3,0,0,2,0,0,0,0,0,3,0,0,2,0,0,0,0,0,3,0,0,1,0,0,1,0,0,3,0,0,6,0,0,0,0,0,4,0,0,3,0,0,0,0,0,4,0,0,3,0,0
