gameId,gameDate,mP_ev,mP_pp,mP_sh,iFW_ev,iFW_pp,iFW_sh,oFW_ev,oFW_pp,oFW_sh,iFL_ev,iFL_pp,iFL_sh,oFL_ev,oFL_pp,oFL_sh,iHG_ev,iHG_pp,iHG_sh,oHG_ev,oHG_pp,oHG_sh,iHT_ev,iHT_pp,iHT_sh,oHT_ev,oHT_pp,oHT_sh,iTW_ev,iTW_pp,iTW_sh,oTW_ev,oTW_pp,oTW_sh,iGW_ev,iGW_pp,iGW_sh,oGW_ev,oGW_pp,oGW_sh,iMD_ev,iMD_pp,iMD_sh,iMC_ev,iMC_pp,iMC_sh,iCF_ev,iCF_pp,iCF_sh,oCF_ev,oCF_pp,oCF_sh,oCA_ev,oCA_pp,oCA_sh,iFF_ev,iFF_pp,iFF_sh,oFF_ev,oFF_pp,oFF_sh,oFA_ev,oFA_pp,oFA_sh,iSF_ev,iSF_pp,iSF_sh,oSF_ev,oSF_pp,oSF_sh,oSA_ev,oSA_pp,oSA_sh,iGF_ev,iGF_pp,iGF_sh,oGF_ev,oGF_pp,oGF_sh,oGA_ev,oGA_pp,oGA_sh,iAPF_ev,iAPF_pp,iAPF_sh,oAPF_ev,oAPF_pp,oAPF_sh,oAPA_ev,oAPA_pp,oAPA_sh,iASF_ev,iASF_pp,iASF_sh,oASF_ev,oASF_pp,oASF_sh,oASA_ev,oASA_pp,oASA_sh,iRSF_ev,iRSF_pp,iRSF_sh,oRSF_ev,oRSF_pp,oRSF_sh,oRSA_ev,oRSA_pp,oRSA_sh,iRBF_ev,iRBF_pp,iRBF_sh,oRBF_ev,oRBF_pp,oRBF_sh,oRBA_ev,oRBA_pp,oRBA_sh,iRCF_ev,iRCF_pp,iRCF_sh,oRCF_ev,oRCF_pp,oRCF_sh,oRCA_ev,oRCA_pp,oRCA_sh
2022020001,2022-10-07,12.183333333333334,1.9333333333333333,2.3333333333333335,4,0,1,5,0,1,3,0,0,4,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,9,4,0,19,1,4,5,0,0,7,3,0,12,1,3,4,0,0,5,2,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,1,0,0,3,0,0,3,0,0,4,0,0,1,0,0,3,0,0,3,0,0
2022020002,2022-10-08,10.7,2.8,3.4,3,0,5,3,0,5,7,1,0,8,1,0,2,0,0,6,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0,1,1,1,1,2,0,0,0,0,0,0,1,0,0,5,4,3,5,1,7,0,0,0,2,3,2,5,1,5,0,0,0,2,3,2,1,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,1,0,0
2022020024,2022-10-14,10.6,3.216666666666667,1.85,5,2,0,5,2,0,5,0,1,5,0,1,0,0,0,1,0,1,1,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,7,3,0,13,1,3,1,0,0,3,2,0,8,1,2,0,0,0,2,2,0,6,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
2022020038,2022-10-15,13.416666666666666,3.1,0.4166666666666667,2,2,1,4,2,1,5,2,0,5,2,0,1,0,0,4,0,0,2,0,0,6,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,2,0,0,1,1,0,11,5,0,6,0,0,1,0,0,7,3,0,5,0,0,1,0,0,4,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,1,0,0
2022020051,2022-10-18,11.333333333333334,2.25,2.433333333333333,2,0,0,3,0,0,4,0,4,5,0,4,1,0,0,8,0,0,2,0,0,7,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,9,4,0,14,0,7,0,1,0,7,1,0,12,0,6,0,1,0,4,1,0,11,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
2022020064,2022-10-20,12.5,0.8,3.3666666666666667,2,0,0,10,0,0,0,0,2,5,0,2,0,0,0,7,0,0,0,0,0,8,0,0,1,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,2,0,0,8,0,1,11,0,6,1,0,0,6,0,0,7,0,5,1,0,0,4,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2022020075,2022-10-22,12.033333333333333,0.5,1.9,1,1,2,6,1,2,0,0,2,5,0,2,0,0,0,6,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0,15,0,1,1,0,0,8,0,0,10,0,1,1,0,0,4,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2022020129,2022-10-29,12.133333333333333,0.8833333333333333,0.7333333333333333,8,0,0,10,0,0,1,0,0,2,0,0,0,0,0,4,0,0,1,0,0,3,1,0,1,0,0,1,0,0,0,0,0,4,1,0,0,0,0,2,0,0,0,0,0,6,0,0,19,0,1,0,0,0,5,0,0,15,0,1,0,0,0,3,0,0,8,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0
2022020158,2022-11-01,12.083333333333334,1.7333333333333334,2.7666666666666666,10,1,0,11,1,0,6,0,2,9,0,2,0,0,0,6,0,0,0,0,0,6,0,0,0,0,1,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,8,3,0,13,0,9,0,0,0,8,2,0,10,0,6,0,0,0,5,1,0,6,0,6,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2022020173,2022-11-03,11.916666666666666,0.11666666666666667,1.9666666666666666,2,0,0,10,0,0,5,0,0,5,1,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,17,1,0,16,0,5,0,0,0,12,1,0,8,0,4,0,0,0,9,1,0,6,0,3,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,4,0,0,6,0,1,0,0,0,4,0,0,6,0,1
