gameId,gameDate,mP_ev,mP_pp,mP_sh,iFW_ev,iFW_pp,iFW_sh,oFW_ev,oFW_pp,oFW_sh,iFL_ev,iFL_pp,iFL_sh,oFL_ev,oFL_pp,oFL_sh,iHG_ev,iHG_pp,iHG_sh,oHG_ev,oHG_pp,oHG_sh,iHT_ev,iHT_pp,iHT_sh,oHT_ev,oHT_pp,oHT_sh,iTW_ev,iTW_pp,iTW_sh,oTW_ev,oTW_pp,oTW_sh,iGW_ev,iGW_pp,iGW_sh,oGW_ev,oGW_pp,oGW_sh,iMD_ev,iMD_pp,iMD_sh,oMD_ev,oMD_pp,oMD_sh,iMC_ev,iMC_pp,iMC_sh,oMC_ev,oMC_pp,oMC_sh,iCF_ev,iCF_pp,iCF_sh,oCF_ev,oCF_pp,oCF_sh,oCA_ev,oCA_pp,oCA_sh,iFF_ev,iFF_pp,iFF_sh,oFF_ev,oFF_pp,oFF_sh,oFA_ev,oFA_pp,oFA_sh,iSF_ev,iSF_pp,iSF_sh,oSF_ev,oSF_pp,oSF_sh,oSA_ev,oSA_pp,oSA_sh,iGF_ev,iGF_pp,iGF_sh,oGF_ev,oGF_pp,oGF_sh,oGA_ev,oGA_pp,oGA_sh,iAPF_ev,iAPF_pp,iAPF_sh,oAPF_ev,oAPF_pp,oAPF_sh,oAPA_ev,oAPA_pp,oAPA_sh,iASF_ev,iASF_pp,iASF_sh,oASF_ev,oASF_pp,oASF_sh,oASA_ev,oASA_pp,oASA_sh,iRSF_ev,iRSF_pp,iRSF_sh,oRSF_ev,oRSF_pp,oRSF_sh,oRSA_ev,oRSA_pp,oRSA_sh,iRBF_ev,iRBF_pp,iRBF_sh,oRBF_ev,oRBF_pp,oRBF_sh,oRBA_ev,oRBA_pp,oRBA_sh,iRCF_ev,iRCF_pp,iRCF_sh,oRCF_ev,oRCF_pp,oRCF_sh,oRCA_ev,oRCA_pp,oRCA_sh
2014020013,2014-10-09,17.633333333333333,2.6,3.033333333333333,0,0,0,13,1,1,0,0,0,6,1,0,0,0,0,6,0,0,3,0,0,6,0,0,1,0,0,7,0,0,0,0,0,3,1,0,0,0,0,4,2,2,4,0,0,8,0,0,2,0,0,22,8,1,18,0,9,2,0,0,20,7,1,11,0,5,1,0,0,13,4,1,5,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,3,0,0,1,0,0,4,0,0,3,0,0
2014020027,2014-10-11,18.4,0.8166666666666667,2.683333333333333,0,0,0,10,1,1,0,0,0,9,1,1,2,0,0,8,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,15,2,1,17,0,6,1,0,0,10,1,0,11,0,6,0,0,0,5,1,0,8,0,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2014020042,2014-10-14,19.75,0.85,3.3666666666666667,0,0,0,12,0,4,0,0,0,8,1,2,2,0,1,10,0,2,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,9,0,0,5,0,0,24,0,0,12,1,6,4,0,0,18,0,0,10,1,4,2,0,0,13,0,0,8,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2014020051,2014-10-16,17.483333333333334,1.3666666666666667,1.95,0,0,0,8,1,1,0,0,0,11,0,1,0,0,0,2,0,1,6,0,0,13,1,1,0,0,0,2,0,0,1,0,0,3,0,0,0,0,0,2,0,0,0,0,0,4,2,0,2,0,0,17,3,0,14,0,4,2,0,0,12,2,0,8,0,4,1,0,0,8,1,0,7,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2014020070,2014-10-18,18.183333333333334,0.8833333333333333,2.3833333333333333,0,0,0,10,0,0,0,0,0,11,0,3,2,0,0,10,0,1,1,0,0,8,0,0,0,0,0,3,1,0,0,0,0,4,0,0,0,0,0,4,0,0,2,0,0,2,0,0,2,0,0,15,0,1,23,0,3,1,0,0,13,0,1,18,0,2,1,0,0,11,0,1,13,0,2,0,0,0,2,0,0,2,0,0,1,0,0,2,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,5,0,0,1,0,0,3,0,0,5,0,0
2014020086,2014-10-21,14.883333333333333,4.616666666666666,3.283333333333333,0,0,0,11,1,1,0,0,0,7,0,2,0,0,0,6,0,0,1,0,0,4,1,0,0,0,1,1,0,1,1,1,0,4,1,0,0,0,0,6,0,2,0,0,0,0,0,2,0,0,0,6,4,1,14,4,4,0,0,0,6,4,1,12,4,3,0,0,0,4,3,1,10,3,2,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
2014020101,2014-10-24,22.433333333333334,2.05,0,0,0,0,11,0,0,0,0,0,11,2,0,1,0,0,6,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,18,1,0,15,1,0,3,1,0,16,1,0,12,1,0,3,1,0,14,1,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2014020110,2014-10-25,17.483333333333334,3.816666666666667,1.4333333333333333,0,0,0,6,1,1,0,0,0,12,1,0,2,1,0,8,2,1,3,0,0,10,0,0,1,0,0,2,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,20,2,0,12,1,0,4,0,0,11,2,0,11,1,0,2,0,0,8,2,0,11,1,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2014020132,2014-10-28,18.433333333333334,3.966666666666667,1.05,0,0,0,9,1,1,0,0,0,7,2,1,0,0,0,2,0,1,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,2,2,1,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,15,4,0,19,0,0,0,0,0,9,2,0,12,0,0,0,0,0,5,1,0,11,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
2014020150,2014-10-31,20.166666666666668,2.1,2.566666666666667,0,0,0,12,2,1,0,0,0,13,1,2,0,0,1,9,0,1,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,4,0,0,0,4,0,0,4,0,0,20,2,0,17,3,4,3,0,0,14,2,0,14,1,2,2,0,0,9,1,0,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,2,1,0,1,0,0
