gameId,gameDate,mP_ev,mP_pp,mP_sh,iFW_ev,iFW_pp,iFW_sh,oFW_ev,oFW_pp,oFW_sh,iFL_ev,iFL_pp,iFL_sh,oFL_ev,oFL_pp,oFL_sh,iHG_ev,iHG_pp,iHG_sh,oHG_ev,oHG_pp,oHG_sh,iHT_ev,iHT_pp,iHT_sh,oHT_ev,oHT_pp,oHT_sh,iTW_ev,iTW_pp,iTW_sh,oTW_ev,oTW_pp,oTW_sh,iGW_ev,iGW_pp,iGW_sh,oGW_ev,oGW_pp,oGW_sh,iMD_ev,iMD_pp,iMD_sh,iMC_ev,iMC_pp,iMC_sh,iCF_ev,iCF_pp,iCF_sh,oCF_ev,oCF_pp,oCF_sh,oCA_ev,oCA_pp,oCA_sh,iFF_ev,iFF_pp,iFF_sh,oFF_ev,oFF_pp,oFF_sh,oFA_ev,oFA_pp,oFA_sh,iSF_ev,iSF_pp,iSF_sh,oSF_ev,oSF_pp,oSF_sh,oSA_ev,oSA_pp,oSA_sh,iGF_ev,iGF_pp,iGF_sh,oGF_ev,oGF_pp,oGF_sh,oGA_ev,oGA_pp,oGA_sh,iAPF_ev,iAPF_pp,iAPF_sh,oAPF_ev,oAPF_pp,oAPF_sh,oAPA_ev,oAPA_pp,oAPA_sh,iASF_ev,iASF_pp,iASF_sh,oASF_ev,oASF_pp,oASF_sh,oASA_ev,oASA_pp,oASA_sh,iRSF_ev,iRSF_pp,iRSF_sh,oRSF_ev,oRSF_pp,oRSF_sh,oRSA_ev,oRSA_pp,oRSA_sh,iRBF_ev,iRBF_pp,iRBF_sh,oRBF_ev,oRBF_pp,oRBF_sh,oRBA_ev,oRBA_pp,oRBA_sh,iRCF_ev,iRCF_pp,iRCF_sh,oRCF_ev,oRCF_pp,oRCF_sh,oRCA_ev,oRCA_pp,oRCA_sh
2017020012,2017-10-05,10.466666666666667,3.466666666666667,2.8,0,1,1,8,3,2,0,0,0,6,2,1,2,0,0,5,0,0,0,1,0,2,1,0,1,0,0,2,0,0,1,0,0,2,0,0,2,0,0,0,0,0,3,2,0,17,6,0,4,1,3,3,1,0,13,3,0,3,1,3,1,0,0,8,2,0,3,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2017020030,2017-10-07,10.783333333333333,4.583333333333333,1.8166666666666667,0,0,0,6,0,0,0,0,0,5,5,1,1,0,0,3,0,0,3,0,0,7,2,0,0,0,0,2,0,0,1,1,0,4,2,0,0,0,0,0,0,0,2,4,0,11,9,0,10,2,1,2,3,0,8,6,0,7,2,1,2,2,0,6,3,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,0,0,3,0,0,1,0,0,2,0,0,3,0,0
2017020050,2017-10-11,11.183333333333334,3.683333333333333,2.4833333333333334,0,0,0,6,4,0,0,0,0,7,0,2,2,0,0,4,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,1,0,2,0,0,0,0,0,4,2,0,15,11,0,10,1,4,3,2,0,11,8,0,10,1,4,3,1,0,8,4,0,7,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,1,0,0,0,1,0,0,2,0,1,0,1,0,0,0,0,2,0,1,0,1
2017020075,2017-10-14,13,0.48333333333333334,2.533333333333333,1,0,0,5,0,1,1,0,0,8,0,0,1,0,0,3,0,0,1,0,0,6,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,12,1,0,6,0,2,3,0,0,10,1,0,3,0,2,3,0,0,9,1,0,1,0,2,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017020079,2017-10-15,13.733333333333333,2.183333333333333,0.5333333333333333,0,0,0,8,1,1,0,0,0,5,0,0,0,0,0,4,0,1,1,1,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,9,3,0,12,0,0,0,0,0,6,3,0,12,0,0,0,0,0,5,3,0,6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2017020094,2017-10-18,11.683333333333334,1.6,2.75,0,1,0,7,1,0,1,0,0,10,0,2,0,0,0,5,0,0,3,0,0,4,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,2,0,0,14,3,0,11,1,8,2,0,0,12,1,0,8,1,6,1,0,0,7,1,0,4,1,4,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1
2017020117,2017-10-21,16.833333333333332,0.9,0.25,1,1,0,10,1,0,3,0,0,7,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,19,0,0,20,1,0,2,0,0,13,0,0,14,1,0,1,0,0,10,0,0,11,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0
2017020123,2017-10-23,12.5,1.9666666666666666,1.2,0,0,1,1,2,1,0,1,0,8,2,0,3,0,0,8,0,0,1,0,0,6,0,0,1,0,0,4,0,1,0,0,0,1,0,0,2,0,0,0,0,0,6,1,1,22,6,1,9,0,1,5,0,0,15,5,0,9,0,0,3,0,0,12,3,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2017020131,2017-10-24,13.283333333333333,2.25,0,0,0,0,4,1,0,0,0,0,13,0,0,0,0,0,7,0,0,1,0,0,4,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4,1,0,18,4,0,8,1,0,4,1,0,15,4,0,6,1,0,4,1,0,13,4,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,1,0,0,2,0,0,1,0,0,0,0,0,2,0,0,1,0,0
2017020142,2017-10-26,11.983333333333333,0.16666666666666666,2.7333333333333334,1,0,0,4,1,0,1,0,0,5,0,0,3,0,0,10,0,1,1,0,0,7,0,0,1,0,0,2,0,0,0,0,0,5,0,0,0,0,2,0,0,0,3,0,0,16,0,0,17,0,6,2,0,0,12,0,0,14,0,5,2,0,0,11,0,0,12,0,5,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
