gameId,gameDate,mP_ev,mP_pp,mP_sh,iFW_ev,iFW_pp,iFW_sh,oFW_ev,oFW_pp,oFW_sh,iFL_ev,iFL_pp,iFL_sh,oFL_ev,oFL_pp,oFL_sh,iHG_ev,iHG_pp,iHG_sh,oHG_ev,oHG_pp,oHG_sh,iHT_ev,iHT_pp,iHT_sh,oHT_ev,oHT_pp,oHT_sh,iTW_ev,iTW_pp,iTW_sh,oTW_ev,oTW_pp,oTW_sh,iGW_ev,iGW_pp,iGW_sh,oGW_ev,oGW_pp,oGW_sh,iMD_ev,iMD_pp,iMD_sh,oMD_ev,oMD_pp,oMD_sh,iMC_ev,iMC_pp,iMC_sh,oMC_ev,oMC_pp,oMC_sh,iCF_ev,iCF_pp,iCF_sh,oCF_ev,oCF_pp,oCF_sh,oCA_ev,oCA_pp,oCA_sh,iFF_ev,iFF_pp,iFF_sh,oFF_ev,oFF_pp,oFF_sh,oFA_ev,oFA_pp,oFA_sh,iSF_ev,iSF_pp,iSF_sh,oSF_ev,oSF_pp,oSF_sh,oSA_ev,oSA_pp,oSA_sh,iGF_ev,iGF_pp,iGF_sh,oGF_ev,oGF_pp,oGF_sh,oGA_ev,oGA_pp,oGA_sh,iAPF_ev,iAPF_pp,iAPF_sh,oAPF_ev,oAPF_pp,oAPF_sh,oAPA_ev,oAPA_pp,oAPA_sh,iASF_ev,iASF_pp,iASF_sh,oASF_ev,oASF_pp,oASF_sh,oASA_ev,oASA_pp,oASA_sh,iRSF_ev,iRSF_pp,iRSF_sh,oRSF_ev,oRSF_pp,oRSF_sh,oRSA_ev,oRSA_pp,oRSA_sh,iRBF_ev,iRBF_pp,iRBF_sh,oRBF_ev,oRBF_pp,oRBF_sh,oRBA_ev,oRBA_pp,oRBA_sh,iRCF_ev,iRCF_pp,iRCF_sh,oRCF_ev,oRCF_pp,oRCF_sh,oRCA_ev,oRCA_pp,oRCA_sh
2015020001,2015-10-07,16.433333333333334,0.05,0.9666666666666667,0,0,0,4,0,1,0,0,0,12,0,0,0,0,0,8,0,0,2,0,0,9,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,4,0,0,9,0,0,23,1,4,3,0,0,6,0,0,17,0,4,3,0,0,6,0,0,15,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2015020018,2015-10-10,11.533333333333333,1.1833333333333333,0,0,0,0,4,0,0,1,0,0,9,0,0,0,0,0,1,0,0,2,0,0,9,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,2,0,0,1,0,0,13,1,0,9,0,0,1,0,0,11,1,0,2,0,0,0,0,0,8,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2015020031,2015-10-11,12.283333333333333,0.8,1.4666666666666666,0,0,0,7,1,0,0,0,0,8,0,1,0,0,0,2,1,0,0,0,0,6,0,2,1,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,11,1,0,10,0,0,1,0,0,8,0,0,7,0,0,1,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015020039,2015-10-13,13.233333333333333,0,1.0166666666666666,0,0,0,2,0,0,1,0,0,6,0,1,0,0,0,3,0,0,1,0,0,7,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,1,6,0,1,14,0,1,3,0,1,5,0,1,14,0,1,3,0,0,5,0,0,12,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2015020053,2015-10-15,11.616666666666667,0.35,1.3,1,0,0,1,0,1,0,0,0,2,0,0,0,0,0,3,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,11,0,1,8,1,2,2,0,0,8,0,1,4,1,2,2,0,0,8,0,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2015020065,2015-10-17,12.85,0.25,1.25,0,0,0,5,0,0,2,0,0,4,0,1,0,0,0,1,0,0,1,0,0,6,0,1,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,2,0,0,3,0,0,17,0,1,11,0,2,2,0,0,11,0,1,6,0,1,1,0,0,9,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2015020085,2015-10-20,14.733333333333333,0.11666666666666667,1.6833333333333333,0,0,0,3,0,1,2,0,0,6,0,1,1,0,0,8,0,0,2,0,0,14,0,0,1,0,0,2,0,0,0,0,0,4,0,1,0,0,0,7,0,0,0,0,0,2,5,0,2,0,1,7,0,3,19,0,1,1,0,1,5,0,3,15,0,1,1,0,1,4,0,3,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0
2015020100,2015-10-23,15.183333333333334,0,1.7833333333333334,4,0,0,7,0,1,2,0,0,2,0,1,0,0,0,4,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,2,0,0,2,0,0,5,0,0,12,0,0,17,0,1,4,0,0,9,0,0,14,0,0,3,0,0,6,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015020108,2015-10-24,10.716666666666667,0,2.2333333333333334,1,0,0,5,0,0,3,0,0,6,0,1,0,0,0,6,0,0,3,0,1,5,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,2,2,0,2,0,0,9,0,0,14,0,8,1,0,0,5,0,0,12,0,6,0,0,0,3,0,0,10,0,3,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
2015020133,2015-10-27,17.1,0.7833333333333333,0.18333333333333332,0,0,0,6,0,0,0,0,0,7,1,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,15,0,0,11,0,1,0,0,0,9,0,0,8,0,1,0,0,0,8,0,0,7,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
