gameId,gameDate,mP_ev,mP_pp,mP_sh,iFW_ev,iFW_pp,iFW_sh,oFW_ev,oFW_pp,oFW_sh,iFL_ev,iFL_pp,iFL_sh,oFL_ev,oFL_pp,oFL_sh,iHG_ev,iHG_pp,iHG_sh,oHG_ev,oHG_pp,oHG_sh,iHT_ev,iHT_pp,iHT_sh,oHT_ev,oHT_pp,oHT_sh,iTW_ev,iTW_pp,iTW_sh,oTW_ev,oTW_pp,oTW_sh,iGW_ev,iGW_pp,iGW_sh,oGW_ev,oGW_pp,oGW_sh,iMD_ev,iMD_pp,iMD_sh,iMC_ev,iMC_pp,iMC_sh,iCF_ev,iCF_pp,iCF_sh,oCF_ev,oCF_pp,oCF_sh,oCA_ev,oCA_pp,oCA_sh,iFF_ev,iFF_pp,iFF_sh,oFF_ev,oFF_pp,oFF_sh,oFA_ev,oFA_pp,oFA_sh,iSF_ev,iSF_pp,iSF_sh,oSF_ev,oSF_pp,oSF_sh,oSA_ev,oSA_pp,oSA_sh,iGF_ev,iGF_pp,iGF_sh,oGF_ev,oGF_pp,oGF_sh,oGA_ev,oGA_pp,oGA_sh,iAPF_ev,iAPF_pp,iAPF_sh,oAPF_ev,oAPF_pp,oAPF_sh,oAPA_ev,oAPA_pp,oAPA_sh,iASF_ev,iASF_pp,iASF_sh,oASF_ev,oASF_pp,oASF_sh,oASA_ev,oASA_pp,oASA_sh,iRSF_ev,iRSF_pp,iRSF_sh,oRSF_ev,oRSF_pp,oRSF_sh,oRSA_ev,oRSA_pp,oRSA_sh,iRBF_ev,iRBF_pp,iRBF_sh,oRBF_ev,oRBF_pp,oRBF_sh,oRBA_ev,oRBA_pp,oRBA_sh,iRCF_ev,iRCF_pp,iRCF_sh,oRCF_ev,oRCF_pp,oRCF_sh,oRCA_ev,oRCA_pp,oRCA_sh
2024020284,2024-11-17,13.8,3.7,1.0166666666666666,6,2,0,7,2,0,5,1,0,8,2,0,1,0,0,4,0,0,1,0,1,3,0,1,0,0,0,2,0,0,0,0,0,4,1,1,0,0,0,0,0,0,3,0,0,13,7,0,15,0,0,3,0,0,13,6,0,14,0,0,0,0,0,4,4,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0
2024020302,2024-11-20,13.433333333333334,1.2,1.3166666666666667,5,0,0,6,1,0,3,0,0,6,0,0,1,0,0,1,0,0,1,0,0,4,1,0,0,0,0,1,0,0,2,0,0,5,0,0,0,0,0,2,0,0,6,1,0,24,1,0,7,1,2,4,1,0,14,1,0,6,1,1,2,1,0,8,1,0,4,1,1,1,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0
2024020309,2024-11-21,18.483333333333334,1.9333333333333333,1,4,3,1,5,3,1,3,0,1,4,0,1,2,0,0,5,0,0,1,0,0,10,0,0,0,0,0,1,0,0,0,0,0,7,2,0,0,0,0,0,0,0,4,0,0,22,4,1,8,1,3,3,0,0,13,3,0,7,0,3,2,0,0,5,3,0,4,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,2,0,0,3,0,0,1,0,0,3,0,0,0,0,1,0,0,0,3,0,0,0,0,1
2024020328,2024-11-23,20.583333333333332,3.183333333333333,0.8,11,4,1,11,5,1,5,1,0,7,1,0,1,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,1,7,2,1,0,0,0,4,0,0,5,1,0,31,6,0,17,1,1,5,1,0,22,4,0,15,0,1,3,1,0,13,4,0,12,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,4,0,0,2,0,0,1,0,0,4,0,0,2,0,0
2024020339,2024-11-25,13.316666666666666,1.6,2.6,13,1,1,14,1,1,1,1,1,1,1,1,1,0,0,2,0,0,1,0,0,4,0,0,0,0,0,1,0,1,2,0,0,6,0,0,0,0,0,0,0,0,5,0,0,16,3,2,8,0,1,5,0,0,14,3,2,8,0,1,2,0,0,9,3,2,4,0,0,1,0,0,2,2,1,1,0,0,1,0,1,2,2,1,1,0,0,0,1,0,2,2,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2024020349,2024-11-27,15.716666666666667,6.433333333333334,1.5,4,1,0,5,1,0,9,4,1,10,4,1,1,0,1,4,0,1,0,0,0,7,1,0,0,0,0,1,0,1,0,0,0,5,1,0,0,0,0,0,0,0,3,0,1,19,5,1,8,1,2,2,0,1,13,4,1,8,1,2,2,0,1,5,4,1,4,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0
2024020367,2024-11-29,14.9,4.966666666666667,0,4,3,0,6,4,0,2,3,0,4,3,0,1,0,0,5,0,0,0,0,0,7,1,0,0,0,0,1,0,0,1,0,0,5,0,0,0,2,0,4,0,0,2,1,0,26,7,0,14,2,0,2,1,0,19,6,0,9,2,0,2,0,0,12,4,0,8,0,0,0,0,0,1,1,0,3,0,0,0,1,0,1,1,0,3,0,0,0,0,0,1,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
2024020377,2024-11-30,13.916666666666666,3.183333333333333,2.4166666666666665,1,3,0,2,3,0,7,0,0,7,1,0,3,0,0,11,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,3,1,1,0,0,0,0,0,0,4,5,0,10,9,1,26,1,1,3,4,0,7,8,1,23,0,1,1,2,0,1,4,1,19,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,2,0,2,0,0
2024020401,2024-12-03,16.8,0.8166666666666667,0.8166666666666667,7,1,0,8,1,0,9,0,0,9,0,0,1,0,0,7,0,0,1,0,0,4,0,0,0,0,0,1,0,0,2,0,0,4,0,0,0,0,0,2,0,0,3,1,0,18,5,0,17,0,0,2,0,0,11,4,0,16,0,0,1,0,0,9,1,0,11,0,0,0,0,0,1,1,0,3,0,0,0,1,0,1,1,0,3,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,2,0,0,1,1,0,3,1,0,2,0,0
2024020415,2024-12-05,15.016666666666667,5.516666666666667,2.25,6,3,2,6,3,2,3,1,0,5,1,0,0,0,0,5,1,1,1,0,0,6,0,1,0,0,0,0,1,0,0,0,0,9,1,1,0,0,0,0,0,0,4,2,0,22,9,0,6,1,3,2,2,0,15,7,0,6,1,2,2,1,0,11,6,0,3,1,1,0,0,0,2,2,0,2,0,0,0,1,0,2,2,0,2,0,0,1,0,0,2,2,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2024020428,2024-12-07,17.033333333333335,3.3666666666666667,1.65,7,1,0,8,2,0,4,1,0,7,1,0,0,0,0,4,0,0,0,0,0,1,0,0,2,0,0,5,0,0,1,0,0,4,2,0,0,0,0,0,0,0,7,1,0,28,7,0,6,0,0,5,1,0,19,5,0,5,0,0,3,0,0,13,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
2024020448,2024-12-10,15.183333333333334,4.35,1.9333333333333333,6,2,0,6,2,0,4,3,0,4,3,0,0,0,0,6,1,1,1,0,1,12,1,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,4,1,0,21,6,0,13,1,1,4,0,0,18,3,0,10,0,0,2,0,0,11,1,0,8,0,0,0,0,0,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,1,0,0,1,0,0,3,0,0,1,0,0
2024020473,2024-12-13,14.6,2.466666666666667,1.85,11,2,0,11,2,0,7,1,0,9,2,0,0,0,0,6,0,0,0,0,0,3,1,0,0,0,0,2,1,0,0,0,0,2,0,1,0,0,0,0,0,0,4,0,0,23,4,0,10,0,4,3,0,0,16,4,0,9,0,3,3,0,0,9,2,0,8,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,1
2024020491,2024-12-15,11.866666666666667,4.433333333333334,2.716666666666667,4,5,1,4,5,1,6,2,1,6,2,1,0,0,0,2,0,1,0,0,0,6,1,1,1,0,0,2,1,0,1,1,1,3,2,2,0,0,0,2,0,0,3,2,1,13,7,2,10,0,2,2,2,1,10,7,2,7,0,2,1,2,1,7,4,2,3,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2024020500,2024-12-17,14.2,2.066666666666667,0.5666666666666667,4,1,0,5,1,0,5,0,0,7,1,0,0,0,0,2,0,0,1,1,0,8,1,0,1,0,0,2,0,0,0,0,0,1,3,0,0,0,0,0,0,0,8,1,0,18,2,0,9,2,0,6,0,0,13,1,0,8,2,0,3,0,0,8,1,0,7,2,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0
2024020524,2024-12-20,15.266666666666667,2.966666666666667,0.9833333333333333,7,1,1,9,3,1,8,2,0,9,2,0,1,0,0,3,0,0,0,1,0,5,1,1,0,0,0,2,0,0,2,0,0,4,0,0,0,0,0,0,0,0,3,5,0,19,11,0,15,0,3,2,4,0,14,10,0,10,0,3,0,1,0,6,5,0,7,0,3,0,0,0,1,0,0,2,0,0,1,0,0,1,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,2,0,1,0,0,0,0,0,2,2,0,1,0,0
2024020539,2024-12-22,13.133333333333333,7.65,2.9833333333333334,3,4,0,4,5,0,7,1,0,8,1,0,0,0,0,6,0,1,3,0,0,11,1,0,0,0,0,1,0,0,1,0,0,1,3,1,0,0,0,0,0,0,4,0,0,12,7,0,14,1,3,3,0,0,9,5,0,10,1,2,2,0,0,7,3,0,8,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,1,0,6,0,0
2024020553,2024-12-23,15.25,1.3,0.6333333333333333,9,1,0,10,1,0,5,0,0,7,0,0,2,0,0,6,0,0,1,0,0,5,0,0,0,0,0,4,1,0,1,0,0,4,1,0,0,0,0,0,0,0,3,0,0,19,2,0,18,0,0,2,0,0,11,2,0,14,0,0,2,0,0,8,2,0,12,0,0,1,0,0,1,0,0,3,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2,0,0,3,0,0,0,0,0,1,0,0,3,0,0,1,0,0,1,0,0,3,0,0
2024020560,2024-12-27,15.216666666666667,2.183333333333333,0,5,1,0,5,1,0,8,3,0,10,3,0,3,1,0,8,1,0,1,0,0,6,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,16,4,0,12,1,0,0,0,0,13,3,0,6,1,0,0,0,0,8,2,0,5,1,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0
2024020573,2024-12-28,15.733333333333333,5.133333333333334,1.8,11,3,0,12,4,0,2,1,0,2,2,0,4,0,0,10,1,0,1,1,2,4,2,4,1,0,0,1,0,0,3,0,0,7,0,0,2,0,0,0,0,0,4,0,2,24,7,2,9,3,1,4,0,2,19,7,2,7,3,1,3,0,2,12,5,2,5,2,1,1,0,0,4,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,2,0
2024020594,2024-12-31,19.033333333333335,4.05,2.466666666666667,9,2,1,9,2,1,6,2,0,7,3,0,0,0,0,5,0,0,0,0,0,4,0,0,1,0,0,3,0,0,0,1,0,4,1,0,4,0,0,0,0,0,6,2,0,23,10,0,16,0,5,5,2,0,17,8,0,12,0,4,4,2,0,9,7,0,8,0,4,0,0,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,0,2,0,0,2,0,0,0,0,0,1,1,0,2,0,0,0,0,0,1,1,0,2,0,0
2024020603,2025-01-02,13.05,3.1166666666666667,1.2333333333333334,3,3,0,4,3,1,6,1,0,10,1,0,4,0,0,8,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,15,3,0,16,1,2,3,0,0,12,3,0,11,1,2,2,0,0,9,2,0,9,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
2024020624,2025-01-04,14.066666666666666,4.65,1.3333333333333333,5,3,0,8,3,1,5,1,0,7,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,1,0,2,0,0,2,0,0,4,2,0,20,5,0,14,1,1,3,1,0,13,3,0,9,1,1,2,1,0,7,2,0,7,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,1,0,0
2024020634,2025-01-05,15.2,3.3666666666666667,2.433333333333333,10,3,0,11,3,0,2,1,0,3,2,0,0,0,0,2,0,0,0,0,0,3,1,0,0,0,0,2,1,0,1,0,0,2,0,0,0,0,0,0,0,0,2,5,0,22,7,2,11,0,0,2,3,0,17,4,2,8,0,0,2,1,0,11,2,2,3,0,0,1,0,0,3,0,0,1,0,0,2,0,0,3,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2024020029,2025-01-07,14.883333333333333,1.7333333333333334,1.9666666666666666,6,1,0,7,1,0,4,0,1,6,1,1,2,0,0,5,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,1,0,5,1,0,4,0,0,4,0,0,3,1,0,11,2,1,21,0,2,2,1,0,5,2,1,14,0,2,1,1,0,2,2,1,11,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,3,0,1,0,0,0,1,0,0,3,0,1
2024020659,2025-01-09,15.1,4.25,1.6166666666666667,3,3,0,6,3,0,4,1,1,7,1,1,0,0,0,1,0,1,1,1,0,5,2,0,0,0,0,2,0,0,1,1,0,5,1,0,0,0,0,0,0,0,2,3,0,12,8,1,21,0,4,1,3,0,8,6,1,15,0,4,1,3,0,6,3,0,10,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,4,0,1
2024020666,2025-01-10,14.283333333333333,2.65,2.6166666666666667,7,2,1,9,2,1,6,0,0,7,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,1,1,0,0,0,0,0,0,3,1,2,16,4,4,11,1,0,3,1,0,12,4,2,6,1,0,1,0,0,4,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,2,0,1,0,0,0,1,0,0,2,0,1,0,0,0
