gameId,gameDate,mP_ev,mP_pp,mP_sh,iFW_ev,iFW_pp,iFW_sh,oFW_ev,oFW_pp,oFW_sh,iFL_ev,iFL_pp,iFL_sh,oFL_ev,oFL_pp,oFL_sh,iHG_ev,iHG_pp,iHG_sh,oHG_ev,oHG_pp,oHG_sh,iHT_ev,iHT_pp,iHT_sh,oHT_ev,oHT_pp,oHT_sh,iTW_ev,iTW_pp,iTW_sh,oTW_ev,oTW_pp,oTW_sh,iGW_ev,iGW_pp,iGW_sh,oGW_ev,oGW_pp,oGW_sh,iMD_ev,iMD_pp,iMD_sh,iMC_ev,iMC_pp,iMC_sh,iCF_ev,iCF_pp,iCF_sh,oCF_ev,oCF_pp,oCF_sh,oCA_ev,oCA_pp,oCA_sh,iFF_ev,iFF_pp,iFF_sh,oFF_ev,oFF_pp,oFF_sh,oFA_ev,oFA_pp,oFA_sh,iSF_ev,iSF_pp,iSF_sh,oSF_ev,oSF_pp,oSF_sh,oSA_ev,oSA_pp,oSA_sh,iGF_ev,iGF_pp,iGF_sh,oGF_ev,oGF_pp,oGF_sh,oGA_ev,oGA_pp,oGA_sh,iAPF_ev,iAPF_pp,iAPF_sh,oAPF_ev,oAPF_pp,oAPF_sh,oAPA_ev,oAPA_pp,oAPA_sh,iASF_ev,iASF_pp,iASF_sh,oASF_ev,oASF_pp,oASF_sh,oASA_ev,oASA_pp,oASA_sh,iRSF_ev,iRSF_pp,iRSF_sh,oRSF_ev,oRSF_pp,oRSF_sh,oRSA_ev,oRSA_pp,oRSA_sh,iRBF_ev,iRBF_pp,iRBF_sh,oRBF_ev,oRBF_pp,oRBF_sh,oRBA_ev,oRBA_pp,oRBA_sh,iRCF_ev,iRCF_pp,iRCF_sh,oRCF_ev,oRCF_pp,oRCF_sh,oRCA_ev,oRCA_pp,oRCA_sh
2021020019,2021-10-15,12.433333333333334,3.0166666666666666,3.7,0,0,0,7,2,3,0,0,0,7,2,2,3,0,0,7,0,0,5,0,0,9,0,1,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,20,3,1,11,1,5,1,0,0,14,3,1,10,1,4,0,0,0,11,3,1,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2021020032,2021-10-16,16.266666666666666,1.5166666666666666,1.3,0,0,0,7,1,1,0,0,0,10,0,0,0,0,0,9,0,0,2,0,0,6,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,12,5,0,15,0,1,1,0,0,11,4,0,13,0,0,1,0,0,9,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,3,0,0,0,0,0,1,1,0,3,0,0
2021020048,2021-10-19,16.433333333333334,0.9666666666666667,1.95,0,0,0,12,1,0,0,0,0,1,0,2,1,0,0,4,0,1,0,0,0,5,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,0,2,2,0,0,2,1,0,20,3,0,17,1,3,1,1,0,12,3,0,11,0,3,1,1,0,9,2,0,9,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,3,1,0,0,0,0,0,1,0,3,1,0,0,0,0
2021020075,2021-10-23,18.2,1.1,0.23333333333333334,0,0,0,9,1,0,0,0,0,15,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,18,1,0,12,1,1,1,0,0,11,1,0,5,0,0,1,0,0,9,1,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0
2021020081,2021-10-24,13.966666666666667,4.183333333333334,2.283333333333333,0,0,0,8,2,0,0,0,0,6,3,3,1,0,0,4,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,1,0,11,7,0,13,2,2,1,1,0,6,6,0,10,2,2,1,1,0,3,4,0,5,1,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021020094,2021-10-26,14.433333333333334,1.5833333333333333,3.5166666666666666,0,0,0,9,1,0,0,0,0,8,0,2,0,0,0,3,1,0,1,0,0,7,2,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4,0,1,8,3,1,7,0,5,2,0,1,6,2,1,3,0,4,2,0,1,5,2,1,3,0,3,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
2021020167,2021-11-06,18.916666666666668,0,1.1333333333333333,0,0,0,7,0,1,0,0,0,9,0,1,1,0,0,5,0,0,3,0,0,10,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,20,0,0,19,0,4,2,0,0,13,0,0,14,0,2,1,0,0,11,0,0,12,0,1,0,0,0,2,0,0,3,0,0,1,0,0,2,0,0,3,0,0,0,0,0,2,0,0,3,0,0,0,0,0,2,0,0,1,0,0,1,0,0,3,0,0,3,0,0,2,0,0,3,0,0,2,0,1
2021020176,2021-11-07,16.033333333333335,0,1.1166666666666667,0,0,0,5,0,0,0,0,0,8,0,1,0,0,0,2,0,1,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,12,0,1,12,0,0,1,0,0,9,0,1,9,0,0,0,0,0,6,0,1,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021020194,2021-11-10,17.95,0,0.95,0,0,0,7,0,0,0,0,0,9,0,1,1,0,0,7,0,0,2,0,0,12,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,3,0,0,15,0,0,6,0,3,3,0,0,14,0,0,5,0,2,2,0,0,13,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021020204,2021-11-11,15.416666666666666,2.533333333333333,0.75,0,0,0,6,0,0,0,0,0,7,1,0,2,0,0,9,0,0,2,0,0,5,0,0,1,0,0,1,0,0,1,0,0,3,1,0,0,0,0,2,0,0,2,0,0,11,3,0,15,2,0,2,0,0,10,2,0,9,1,0,2,0,0,6,1,0,7,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
