gameId,gameDate,mP_ev,mP_pp,mP_sh,iFW_ev,iFW_pp,iFW_sh,oFW_ev,oFW_pp,oFW_sh,iFL_ev,iFL_pp,iFL_sh,oFL_ev,oFL_pp,oFL_sh,iHG_ev,iHG_pp,iHG_sh,oHG_ev,oHG_pp,oHG_sh,iHT_ev,iHT_pp,iHT_sh,oHT_ev,oHT_pp,oHT_sh,iTW_ev,iTW_pp,iTW_sh,oTW_ev,oTW_pp,oTW_sh,iGW_ev,iGW_pp,iGW_sh,oGW_ev,oGW_pp,oGW_sh,iMD_ev,iMD_pp,iMD_sh,iMC_ev,iMC_pp,iMC_sh,iCF_ev,iCF_pp,iCF_sh,oCF_ev,oCF_pp,oCF_sh,oCA_ev,oCA_pp,oCA_sh,iFF_ev,iFF_pp,iFF_sh,oFF_ev,oFF_pp,oFF_sh,oFA_ev,oFA_pp,oFA_sh,iSF_ev,iSF_pp,iSF_sh,oSF_ev,oSF_pp,oSF_sh,oSA_ev,oSA_pp,oSA_sh,iGF_ev,iGF_pp,iGF_sh,oGF_ev,oGF_pp,oGF_sh,oGA_ev,oGA_pp,oGA_sh,iAPF_ev,iAPF_pp,iAPF_sh,oAPF_ev,oAPF_pp,oAPF_sh,oAPA_ev,oAPA_pp,oAPA_sh,iASF_ev,iASF_pp,iASF_sh,oASF_ev,oASF_pp,oASF_sh,oASA_ev,oASA_pp,oASA_sh,iRSF_ev,iRSF_pp,iRSF_sh,oRSF_ev,oRSF_pp,oRSF_sh,oRSA_ev,oRSA_pp,oRSA_sh,iRBF_ev,iRBF_pp,iRBF_sh,oRBF_ev,oRBF_pp,oRBF_sh,oRBA_ev,oRBA_pp,oRBA_sh,iRCF_ev,iRCF_pp,iRCF_sh,oRCF_ev,oRCF_pp,oRCF_sh,oRCA_ev,oRCA_pp,oRCA_sh
2022020013,2022-10-13,10.133333333333333,0.11666666666666667,2.2,0,0,0,3,0,0,0,0,0,7,0,2,3,0,0,7,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,5,0,0,13,1,3,1,0,0,5,0,0,9,1,3,1,0,0,5,0,0,7,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0
2022020030,2022-10-15,13.683333333333334,0,1.0666666666666667,0,0,0,8,0,0,0,0,0,6,0,1,3,0,0,13,0,0,0,0,0,6,0,0,0,0,0,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,1,22,0,1,0,0,0,5,0,0,17,0,1,0,0,0,4,0,0,13,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,5,0,0,0,0,0,1,0,0,5,0,0
2022020049,2022-10-18,13.383333333333333,0.4666666666666667,2.55,0,0,0,10,0,1,0,0,1,7,0,4,2,0,0,7,0,1,2,0,0,8,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,14,1,0,10,0,6,0,0,0,12,0,0,7,0,5,0,0,0,9,0,0,3,0,4,0,0,0,2,0,0,0,0,1,1,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
2022020065,2022-10-20,11.733333333333333,0.05,1.25,0,0,0,9,0,0,0,0,0,2,0,0,0,0,0,5,0,0,1,0,0,10,0,0,0,0,0,1,0,0,2,0,0,6,0,0,0,0,0,0,0,0,3,0,0,15,0,0,5,0,2,2,0,0,11,0,0,5,0,1,1,0,0,9,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0
2022020076,2022-10-22,12.183333333333334,0.7166666666666667,2.716666666666667,0,0,0,9,0,0,0,0,0,5,0,0,2,0,0,8,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,2,0,0,10,0,0,8,0,3,1,0,0,5,0,0,4,0,3,1,0,0,5,0,0,2,0,3,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0
2022020092,2022-10-24,9.983333333333333,0,2.55,0,0,0,5,0,0,0,0,0,4,0,1,1,0,0,6,0,1,0,0,0,3,0,0,1,0,0,4,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,1,5,0,1,9,0,2,0,0,1,3,0,1,7,0,0,0,0,1,2,0,1,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022020113,2022-10-27,10.616666666666667,0,3.0833333333333335,0,0,0,5,0,0,0,0,0,3,0,0,2,0,0,8,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,3,0,0,9,0,1,12,0,11,3,0,0,4,0,0,12,0,10,2,0,0,2,0,0,10,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,1,0,0,2,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,0,1
2022020128,2022-10-29,10.683333333333334,0,3.1166666666666667,0,0,0,3,0,1,0,0,0,5,0,1,2,0,0,6,0,2,3,0,0,10,0,0,0,0,1,1,0,1,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,6,0,0,13,0,3,0,0,0,3,0,0,11,0,3,0,0,0,2,0,0,8,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2022020148,2022-11-01,10.583333333333334,0.06666666666666667,6.783333333333333,0,0,0,8,0,0,0,0,0,5,0,1,0,0,0,10,0,0,3,0,1,9,0,2,0,0,0,0,1,2,0,0,0,1,0,0,0,0,4,0,0,0,2,0,1,7,0,1,11,0,10,2,0,1,3,0,1,5,0,8,0,0,1,0,0,1,4,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,1,0,0,0,0,2
2022020163,2022-11-03,12.333333333333334,0,3.466666666666667,0,0,0,6,0,1,0,0,0,5,0,2,0,0,0,4,0,0,2,0,1,8,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,13,0,1,13,0,5,2,0,0,10,0,1,12,0,4,1,0,0,7,0,1,9,0,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,1,0,1,1,0,0,2,0,0,1,0,1
