gameId,gameDate,mP_ev,mP_pp,mP_sh,iFW_ev,iFW_pp,iFW_sh,oFW_ev,oFW_pp,oFW_sh,iFL_ev,iFL_pp,iFL_sh,oFL_ev,oFL_pp,oFL_sh,iHG_ev,iHG_pp,iHG_sh,oHG_ev,oHG_pp,oHG_sh,iHT_ev,iHT_pp,iHT_sh,oHT_ev,oHT_pp,oHT_sh,iTW_ev,iTW_pp,iTW_sh,oTW_ev,oTW_pp,oTW_sh,iGW_ev,iGW_pp,iGW_sh,oGW_ev,oGW_pp,oGW_sh,iMD_ev,iMD_pp,iMD_sh,iMC_ev,iMC_pp,iMC_sh,iCF_ev,iCF_pp,iCF_sh,oCF_ev,oCF_pp,oCF_sh,oCA_ev,oCA_pp,oCA_sh,iFF_ev,iFF_pp,iFF_sh,oFF_ev,oFF_pp,oFF_sh,oFA_ev,oFA_pp,oFA_sh,iSF_ev,iSF_pp,iSF_sh,oSF_ev,oSF_pp,oSF_sh,oSA_ev,oSA_pp,oSA_sh,iGF_ev,iGF_pp,iGF_sh,oGF_ev,oGF_pp,oGF_sh,oGA_ev,oGA_pp,oGA_sh,iAPF_ev,iAPF_pp,iAPF_sh,oAPF_ev,oAPF_pp,oAPF_sh,oAPA_ev,oAPA_pp,oAPA_sh,iASF_ev,iASF_pp,iASF_sh,oASF_ev,oASF_pp,oASF_sh,oASA_ev,oASA_pp,oASA_sh,iRSF_ev,iRSF_pp,iRSF_sh,oRSF_ev,oRSF_pp,oRSF_sh,oRSA_ev,oRSA_pp,oRSA_sh,iRBF_ev,iRBF_pp,iRBF_sh,oRBF_ev,oRBF_pp,oRBF_sh,oRBA_ev,oRBA_pp,oRBA_sh,iRCF_ev,iRCF_pp,iRCF_sh,oRCF_ev,oRCF_pp,oRCF_sh,oRCA_ev,oRCA_pp,oRCA_sh
2025020005,2025-10-08,10.666666666666666,0,1.4666666666666666,2,0,0,5,0,0,3,0,0,6,0,1,2,0,0,8,0,0,0,0,0,9,0,0,1,0,0,2,0,0,2,0,0,4,0,0,2,0,0,2,0,0,3,0,0,10,0,0,6,0,5,3,0,0,9,0,0,5,0,4,2,0,0,5,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0
2025020008,2025-10-09,7.55,0,1.7666666666666666,2,0,0,6,0,0,1,0,0,4,0,2,2,0,0,6,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1,3,0,1,2,0,0,0,0,0,2,0,0,9,0,0,6,0,2,2,0,0,8,0,0,2,0,0,2,0,0,8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025020024,2025-10-11,10.3,0,2.4,2,0,0,6,0,0,6,0,0,9,0,1,1,0,0,4,0,2,1,0,0,10,0,0,0,0,1,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,2,0,1,14,0,1,11,0,3,2,0,1,9,0,1,9,0,3,1,0,0,6,0,0,2,0,2,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,4,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2025020040,2025-10-13,7.7,0,1.6333333333333333,2,0,0,5,0,0,1,0,0,2,0,0,3,0,0,6,0,0,2,0,0,3,0,0,0,0,0,0,0,0,1,0,0,3,0,0,2,0,0,0,0,0,1,0,0,10,0,0,7,0,0,1,0,0,8,0,0,4,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,2,0,0,1,0,0
2025020069,2025-10-16,11.6,0,1.7666666666666666,5,0,0,9,0,0,2,0,1,6,0,1,3,0,0,10,0,0,3,0,0,8,0,0,0,0,0,1,0,0,0,0,0,5,0,0,2,0,0,0,0,0,4,0,1,15,0,1,13,0,4,4,0,1,9,0,1,4,0,3,1,0,0,5,0,0,3,0,2,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,2,0,0,1,0,1,0,0,0,2,0,0,1,0,1
2025020085,2025-10-18,11.683333333333334,0,4.05,6,0,2,9,0,2,1,0,0,7,0,4,3,0,0,9,0,1,0,0,0,4,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,0,0,16,0,5,0,0,0,3,0,0,10,0,4,0,0,0,3,0,0,5,0,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
2025020092,2025-10-19,6.6,0,4.35,2,0,4,4,0,4,1,0,0,4,0,1,2,0,0,5,0,1,0,0,0,6,0,0,1,0,0,1,0,0,1,0,1,1,0,2,5,0,0,5,0,0,1,0,0,7,0,0,9,0,2,1,0,0,3,0,0,6,0,1,1,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,2,0,0,1,0,0,2,0,0,2,0,0
2025020103,2025-10-21,12.9,0.03333333333333333,2.8333333333333335,2,0,3,8,0,3,2,1,1,5,1,3,1,0,0,7,0,1,3,0,0,7,0,0,1,0,1,3,0,1,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,10,0,1,4,0,4,3,0,0,7,0,1,3,0,3,2,0,0,5,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,2
2025020111,2025-10-23,10.416666666666666,0,2.4166666666666665,2,0,2,5,0,2,3,0,1,6,0,1,1,0,0,5,0,0,1,0,0,3,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,1,13,0,1,10,0,5,2,0,1,6,0,1,6,0,5,1,0,1,4,0,1,3,0,5,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,1,0,0,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025020128,2025-10-25,10.666666666666666,0.23333333333333334,1.1166666666666667,3,0,1,6,0,1,1,0,0,1,0,2,3,0,0,7,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,10,0,0,15,0,4,2,0,0,9,0,0,8,0,4,1,0,0,3,0,0,7,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,3,0,0
