gameId,gameDate,mP_ev,mP_pp,mP_sh,iFW_ev,iFW_pp,iFW_sh,oFW_ev,oFW_pp,oFW_sh,iFL_ev,iFL_pp,iFL_sh,oFL_ev,oFL_pp,oFL_sh,iHG_ev,iHG_pp,iHG_sh,oHG_ev,oHG_pp,oHG_sh,iHT_ev,iHT_pp,iHT_sh,oHT_ev,oHT_pp,oHT_sh,iTW_ev,iTW_pp,iTW_sh,oTW_ev,oTW_pp,oTW_sh,iGW_ev,iGW_pp,iGW_sh,oGW_ev,oGW_pp,oGW_sh,iMD_ev,iMD_pp,iMD_sh,iMC_ev,iMC_pp,iMC_sh,iCF_ev,iCF_pp,iCF_sh,oCF_ev,oCF_pp,oCF_sh,oCA_ev,oCA_pp,oCA_sh,iFF_ev,iFF_pp,iFF_sh,oFF_ev,oFF_pp,oFF_sh,oFA_ev,oFA_pp,oFA_sh,iSF_ev,iSF_pp,iSF_sh,oSF_ev,oSF_pp,oSF_sh,oSA_ev,oSA_pp,oSA_sh,iGF_ev,iGF_pp,iGF_sh,oGF_ev,oGF_pp,oGF_sh,oGA_ev,oGA_pp,oGA_sh,iAPF_ev,iAPF_pp,iAPF_sh,oAPF_ev,oAPF_pp,oAPF_sh,oAPA_ev,oAPA_pp,oAPA_sh,iASF_ev,iASF_pp,iASF_sh,oASF_ev,oASF_pp,oASF_sh,oASA_ev,oASA_pp,oASA_sh,iRSF_ev,iRSF_pp,iRSF_sh,oRSF_ev,oRSF_pp,oRSF_sh,oRSA_ev,oRSA_pp,oRSA_sh,iRBF_ev,iRBF_pp,iRBF_sh,oRBF_ev,oRBF_pp,oRBF_sh,oRBA_ev,oRBA_pp,oRBA_sh,iRCF_ev,iRCF_pp,iRCF_sh,oRCF_ev,oRCF_pp,oRCF_sh,oRCA_ev,oRCA_pp,oRCA_sh
2025020005,2025-10-08,17.5,0,4.483333333333333,0,0,0,9,0,1,0,0,0,7,0,5,2,0,1,6,0,1,2,0,0,15,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,18,0,0,20,0,15,2,0,0,14,0,0,13,0,11,1,0,0,8,0,0,10,0,9,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,4,0,0
2025020008,2025-10-09,21.133333333333333,0.26666666666666666,3.783333333333333,0,0,0,17,0,3,0,0,0,6,0,2,6,0,1,14,0,1,1,0,0,8,0,0,0,0,0,4,0,0,2,0,0,9,0,2,0,0,2,0,0,2,2,0,1,17,0,1,14,0,4,1,0,1,13,0,1,10,0,2,0,0,1,10,0,1,8,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025020024,2025-10-11,17.316666666666666,0,4.216666666666667,0,0,0,8,0,3,0,0,0,9,0,4,5,0,1,11,0,2,3,0,0,12,0,0,0,0,0,0,0,0,0,0,1,6,0,1,0,0,0,0,0,0,1,0,0,17,0,2,27,0,9,0,0,0,14,0,2,16,0,9,0,0,0,8,0,2,9,0,4,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,4,0,0,0,0,1,0,0,0,4,0,0,0,0,1
2025020040,2025-10-13,15.933333333333334,0,1.75,0,0,0,9,0,0,0,0,0,5,0,2,7,0,0,13,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,11,0,0,18,0,2,0,0,0,7,0,0,14,0,2,0,0,0,7,0,0,9,0,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0
2025020069,2025-10-16,15.166666666666666,0,5.35,0,0,0,10,0,2,0,0,0,9,0,6,2,0,0,12,0,0,1,0,0,9,0,0,1,0,0,2,0,0,4,0,0,8,0,0,0,0,0,0,0,0,5,0,0,21,0,0,13,0,12,4,0,0,14,0,0,7,0,11,3,0,0,7,0,0,4,0,7,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,2,0,0,0,0,0,3,0,0,0,0,2,2,0,0,3,0,0,0,0,2
2025020085,2025-10-18,17.733333333333334,0,3.933333333333333,0,0,0,11,0,1,0,0,0,11,0,3,3,0,2,12,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,2,0,0,16,0,0,22,0,3,0,0,0,8,0,0,13,0,2,0,0,0,8,0,0,9,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,1,0,0,1,0,0,2,0,0
2025020092,2025-10-19,15.95,0.3,4.483333333333333,0,0,0,4,0,4,0,0,0,5,0,2,3,0,1,9,0,1,2,0,0,6,0,0,0,0,0,0,0,2,2,0,0,7,0,2,2,0,0,4,0,0,1,0,0,12,1,0,17,0,4,0,0,0,4,1,0,12,0,3,0,0,0,3,1,0,8,0,2,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,4,0,0
2025020103,2025-10-21,19.533333333333335,0,2.5833333333333335,0,0,0,13,0,2,0,0,0,10,0,3,3,0,1,11,0,1,1,0,0,4,0,0,2,0,0,5,0,1,0,0,0,5,0,0,2,0,0,2,0,0,7,0,0,15,0,1,10,0,4,3,0,0,9,0,1,7,0,3,3,0,0,7,0,1,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,1,0,0,1,0,0,0,0,2
2025020111,2025-10-23,17.583333333333332,0,3.683333333333333,0,0,0,13,0,2,0,0,0,7,0,1,2,0,0,5,0,0,0,0,0,5,0,0,0,0,0,1,0,1,1,0,0,9,0,0,0,0,0,0,0,0,3,0,0,28,0,1,19,0,8,1,0,0,20,0,1,15,0,7,0,0,0,15,0,1,8,0,6,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0
2025020128,2025-10-25,18.3,0.25,2.6333333333333333,0,0,0,12,0,1,0,0,0,6,1,2,2,0,1,7,0,1,1,0,0,4,0,0,0,0,0,2,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,13,0,0,21,0,2,0,0,0,11,0,0,14,0,2,0,0,0,5,0,0,7,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,2,0,0
2025020149,2025-10-27,19.95,0,3.05,0,0,0,9,0,2,0,0,0,10,0,3,3,0,0,14,0,0,2,0,0,7,0,0,1,0,0,2,0,0,3,0,0,6,0,0,2,0,0,2,0,0,1,0,0,17,0,0,17,0,5,1,0,0,9,0,0,13,0,4,1,0,0,5,0,0,5,0,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,2,0,0
2025020154,2025-10-28,16.183333333333334,0,4.566666666666666,0,0,0,5,0,3,0,0,0,4,0,3,1,0,0,4,0,0,1,0,0,5,0,0,2,0,0,4,0,0,1,0,1,6,0,2,2,0,0,2,0,0,1,0,0,18,0,0,5,0,8,0,0,0,11,0,0,3,0,8,0,0,0,8,0,0,2,0,6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025020167,2025-10-30,17,0.23333333333333334,5.666666666666667,0,0,0,8,0,4,0,0,0,10,0,3,2,0,0,6,0,0,2,0,0,7,0,0,1,0,0,2,0,0,3,0,0,11,0,1,0,0,0,0,0,0,4,0,0,18,0,0,11,0,11,1,0,0,12,0,0,9,0,10,1,0,0,8,0,0,5,0,6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,3,0,0,1,0,3,0,0,0,3,0,0,1,0,3
2025020181,2025-11-01,20.55,0,0,0,0,0,4,0,0,0,0,0,9,0,0,6,0,0,15,0,0,1,0,0,9,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,14,0,0,24,0,0,0,0,0,10,0,0,17,0,0,0,0,0,5,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,1,0,0
2025020205,2025-11-04,16.633333333333333,0,2,0,0,0,7,0,1,0,0,0,7,0,1,1,0,0,4,0,0,0,0,0,4,0,0,0,0,0,2,0,0,2,0,0,4,0,0,4,0,0,8,0,0,1,0,0,16,0,0,21,0,5,1,0,0,12,0,0,15,0,3,1,0,0,8,0,0,11,0,1,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,2,0,0,2,0,0
2025020218,2025-11-06,20.216666666666665,0,1.3166666666666667,0,0,0,9,0,0,0,0,0,7,0,1,4,0,0,12,0,0,4,0,0,8,0,0,2,0,0,2,0,0,1,0,0,5,0,0,0,0,0,0,0,0,2,0,0,16,0,0,15,0,4,2,0,0,13,0,0,11,0,3,1,0,0,7,0,0,5,0,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
2025020234,2025-11-08,18.483333333333334,0,3.6,0,0,0,11,0,3,0,0,0,13,0,0,2,0,0,8,0,0,1,0,0,7,0,0,0,0,0,1,0,1,0,0,0,4,0,0,5,0,0,5,0,0,6,0,0,25,0,2,23,0,7,5,0,0,23,0,1,22,0,5,3,0,0,16,0,0,15,0,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,3,0,0,0,0,0,3,0,0,3,0,1,1,0,0,3,0,0,3,0,1
