gameId,gameDate,mP_ev,mP_pp,mP_sh,iFW_ev,iFW_pp,iFW_sh,oFW_ev,oFW_pp,oFW_sh,iFL_ev,iFL_pp,iFL_sh,oFL_ev,oFL_pp,oFL_sh,iHG_ev,iHG_pp,iHG_sh,oHG_ev,oHG_pp,oHG_sh,iHT_ev,iHT_pp,iHT_sh,oHT_ev,oHT_pp,oHT_sh,iTW_ev,iTW_pp,iTW_sh,oTW_ev,oTW_pp,oTW_sh,iGW_ev,iGW_pp,iGW_sh,oGW_ev,oGW_pp,oGW_sh,iMD_ev,iMD_pp,iMD_sh,iMC_ev,iMC_pp,iMC_sh,iCF_ev,iCF_pp,iCF_sh,oCF_ev,oCF_pp,oCF_sh,oCA_ev,oCA_pp,oCA_sh,iFF_ev,iFF_pp,iFF_sh,oFF_ev,oFF_pp,oFF_sh,oFA_ev,oFA_pp,oFA_sh,iSF_ev,iSF_pp,iSF_sh,oSF_ev,oSF_pp,oSF_sh,oSA_ev,oSA_pp,oSA_sh,iGF_ev,iGF_pp,iGF_sh,oGF_ev,oGF_pp,oGF_sh,oGA_ev,oGA_pp,oGA_sh,iAPF_ev,iAPF_pp,iAPF_sh,oAPF_ev,oAPF_pp,oAPF_sh,oAPA_ev,oAPA_pp,oAPA_sh,iASF_ev,iASF_pp,iASF_sh,oASF_ev,oASF_pp,oASF_sh,oASA_ev,oASA_pp,oASA_sh,iRSF_ev,iRSF_pp,iRSF_sh,oRSF_ev,oRSF_pp,oRSF_sh,oRSA_ev,oRSA_pp,oRSA_sh,iRBF_ev,iRBF_pp,iRBF_sh,oRBF_ev,oRBF_pp,oRBF_sh,oRBA_ev,oRBA_pp,oRBA_sh,iRCF_ev,iRCF_pp,iRCF_sh,oRCF_ev,oRCF_pp,oRCF_sh,oRCA_ev,oRCA_pp,oRCA_sh
2011020006,2011-10-07,7.533333333333333,3.1166666666666667,0,0,0,0,6,2,0,0,0,0,4,1,0,0,0,0,3,0,0,1,1,0,6,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,3,3,0,7,0,0,0,1,0,2,2,0,6,0,0,0,1,0,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011020015,2011-10-08,12.083333333333334,1.7,0,0,0,0,5,0,0,0,0,0,6,1,0,0,0,0,2,0,0,2,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,7,2,0,7,0,0,2,2,0,5,2,0,4,0,0,1,2,0,4,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011020057,2011-10-15,8.466666666666667,1.0666666666666667,0,0,1,0,4,2,0,0,0,0,0,0,0,2,0,0,6,0,0,2,0,0,2,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,3,0,6,1,0,0,0,0,4,2,0,5,1,0,0,0,0,4,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2011020067,2011-10-17,6.4,4.35,0,0,0,0,1,1,0,0,0,0,4,1,0,0,1,0,2,2,0,0,0,0,2,2,0,0,0,0,0,2,0,0,1,0,1,2,0,0,0,0,0,0,0,1,1,0,3,2,0,9,0,0,1,1,0,2,2,0,7,0,0,0,1,0,0,2,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011020089,2011-10-20,11.25,3.6,0,0,0,0,4,2,0,0,0,0,2,1,0,0,1,0,7,1,0,1,2,0,6,2,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2,0,0,4,1,0,11,4,0,11,0,0,3,1,0,8,2,0,8,0,0,3,1,0,7,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2011020095,2011-10-22,12.95,3.216666666666667,0,0,0,0,7,0,0,0,0,0,3,2,0,0,0,0,2,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,5,4,0,20,1,0,1,1,0,3,2,0,15,0,0,1,1,0,2,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,1,0,3,0,0
2011020117,2011-10-25,9.416666666666666,2.6,0,0,0,0,3,1,0,0,0,0,3,0,0,0,0,0,4,0,0,1,0,0,1,0,0,1,0,0,2,0,0,2,0,0,3,2,0,0,0,0,0,0,0,1,0,0,5,5,0,7,1,0,1,0,0,3,2,0,4,1,0,0,0,0,2,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2011020131,2011-10-27,11.133333333333333,2.0833333333333335,0,0,0,0,8,2,0,0,0,0,2,1,0,1,0,0,4,0,0,1,0,0,3,0,0,0,0,0,4,0,0,0,0,0,2,0,0,2,0,0,2,0,0,4,1,0,12,3,0,14,0,0,3,1,0,9,2,0,12,0,0,2,1,0,6,2,0,8,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2011020147,2011-10-29,14.616666666666667,5.9,0,0,0,0,8,2,0,0,0,0,5,2,0,1,0,0,8,0,0,2,0,0,5,0,0,0,0,0,6,1,0,0,0,0,1,1,0,0,0,0,0,0,0,8,0,0,21,4,0,12,0,0,7,0,0,15,3,0,9,0,0,7,0,0,12,2,0,5,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,4,0,0,0,0,0,3,0,0,4,0,0,0,0,0
2011020159,2011-10-31,13.216666666666667,3.433333333333333,0.05,0,0,0,7,3,0,0,0,0,9,3,1,0,0,0,2,0,0,0,0,0,3,1,0,2,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,1,0,11,7,0,8,0,0,2,1,0,9,7,0,6,0,0,2,1,0,8,5,0,4,0,0,1,1,0,1,1,0,2,0,0,0,0,0,1,1,0,2,0,0,0,0,0,1,1,0,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
