playerId,gameId,gameDate,cA_ev,cA_pp,cA_sh,fA_ev,fA_pp,fA_sh,sA_ev,sA_pp,sA_sh,gA_ev,gA_pp,gA_sh,apA_ev,apA_pp,apA_sh,asA_ev,asA_pp,asA_sh,mD_ev,mD_pp,mD_sh,mC_ev,mC_pp,mC_sh,rsA_ev,rsA_pp,rsA_sh,rbA_ev,rbA_pp,rbA_sh,rgA_ev,rgA_pp,rgA_sh
8476903,2017021016,2018-03-05,47,3,4,34,2,3,27,2,3,4,0,0,3,0,0,2,0,0,0,0,0,0,0,0,3,1,0,2,0,0,2,0,0
8476903,2017021197,2018-03-29,38,1,9,31,0,6,24,0,4,4,0,1,4,0,1,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
8476903,2017021235,2018-04-03,38,0,8,28,0,6,18,0,3,4,0,0,4,0,0,3,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0
8476903,2017021248,2018-04-05,35,3,7,28,3,7,17,3,6,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,2,2,0,1,0,0,1,0
8476903,2017021268,2018-04-07,43,1,16,30,1,11,20,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,2,3,0,2
8476914,2017020025,2017-10-07,34,3,7,24,2,5,22,2,5,4,0,1,3,0,1,2,0,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2
8476914,2017020087,2017-10-17,48,3,0,31,3,0,24,2,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,2,0,0,4,0,0,4,0,0
8476914,2017020162,2017-10-28,57,0,11,48,0,5,37,0,5,4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,2,0,1,7,0,2,7,0,2
8476914,2017020228,2017-11-07,41,2,12,28,2,8,20,2,6,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,5,0,0,5,0,0
8476914,2017020371,2017-11-28,51,1,2,37,1,0,30,1,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,3,0,0,4,0,0,4,0,0
8476914,2017020391,2017-12-01,32,6,8,24,5,4,20,4,3,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,4,1,0,2,0,0,2,0,0
8476914,2017020470,2017-12-12,13,0,4,13,0,3,9,0,3,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0
8476914,2017020526,2017-12-20,63,1,3,50,1,3,38,0,3,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
8476914,2017020594,2017-12-31,47,1,14,36,1,8,29,1,5,4,0,1,4,0,1,3,0,1,0,0,0,0,0,0,3,0,1,0,0,3,0,0,3
