gameId,gameDate,cA_ev,cA_pp,cA_sh,fA_ev,fA_pp,fA_sh,sA_ev,sA_pp,sA_sh,gA_ev,gA_pp,gA_sh,apA_ev,apA_pp,apA_sh,asA_ev,asA_pp,asA_sh,mD_ev,mD_pp,mD_sh,mC_ev,mC_pp,mC_sh,rsA_ev,rsA_pp,rsA_sh,rbA_ev,rbA_pp,rbA_sh,rgA_ev,rgA_pp,rgA_sh
2025020038,2025-10-12,46,0,3,30,0,2,20,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,0,0,5,0,0,5,0,0
2025020080,2025-10-18,44,1,6,32,0,5,21,0,3,2,0,1,2,0,1,1,0,1,0,0,0,0,0,0,1,0,0,3,0,0,3,0,0
2025020163,2025-10-28,47,2,6,36,2,4,18,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,3,0,0,3,0,0
2025020227,2025-11-07,47,1,14,31,1,10,24,1,8,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2
2025020299,2025-11-16,47,2,25,33,2,21,24,2,16,1,0,1,1,0,1,1,0,1,0,0,0,12,0,0,8,0,1,3,0,5,3,0,5
2025020344,2025-11-22,57,0,1,48,0,1,33,0,1,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,8,0,0,8,0,0,8,0,0
2025020458,2025-12-07,66,0,5,43,0,4,25,0,3,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,6,0,0,9,0,1,9,0,1
2025020523,2025-12-16,28,0,4,22,0,4,15,0,1,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,3,0,0,3,0,0
2025020567,2025-12-21,54,3,6,34,3,5,25,2,4,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,0,0,7,1,1,7,1,1
2025020622,2025-12-31,54,0,14,33,0,8,20,0,6,4,0,1,4,0,1,3,0,0,0,0,0,0,0,0,4,0,1,3,0,1,3,0,1
2025020662,2026-01-05,46,1,1,34,1,1,17,1,0,3,0,0,3,0,0,1,0,0,2,0,0,2,0,0,0,0,0,3,0,0,3,0,0
2025020685,2026-01-08,36,1,9,25,1,8,13,1,6,2,1,1,2,1,1,2,0,1,0,0,0,0,0,0,1,0,0,2,0,3,2,0,3
2025020697,2026-01-10,35,0,4,29,0,4,17,0,3,5,0,1,5,0,1,3,0,1,0,0,0,0,0,0,5,0,0,4,0,0,4,0,0
2025020718,2026-01-12,38,0,4,35,0,4,25,0,3,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0
2025020737,2026-01-14,29,0,5,18,0,5,12,0,5,5,0,1,5,0,1,5,0,1,0,0,0,0,0,0,2,0,0,2,0,2,2,0,2
2025020787,2026-01-20,60,0,5,40,0,4,25,0,2,4,0,0,3,0,0,3,0,0,0,0,0,0,0,0,6,0,1,8,0,0,8,0,0
2025020826,2026-01-26,47,0,3,35,0,3,23,0,1,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0
2025020849,2026-01-29,45,0,0,35,0,0,21,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0
2025020861,2026-01-31,42,3,19,36,2,14,22,2,9,4,0,1,4,0,1,3,0,1,0,0,0,0,0,0,3,0,0,3,0,1,3,0,1
2025020906,2026-02-05,69,0,13,49,0,11,36,0,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,5,0,0
2025020991,2026-03-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025021017,2026-03-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
