gameId,gameDate,cA_ev,cA_pp,cA_sh,fA_ev,fA_pp,fA_sh,sA_ev,sA_pp,sA_sh,gA_ev,gA_pp,gA_sh,apA_ev,apA_pp,apA_sh,asA_ev,asA_pp,asA_sh,mD_ev,mD_pp,mD_sh,mC_ev,mC_pp,mC_sh,rsA_ev,rsA_pp,rsA_sh,rbA_ev,rbA_pp,rbA_sh,rgA_ev,rgA_pp,rgA_sh
2012020006,2013-01-19,31,0,9,22,0,9,13,0,6,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1
2012020030,2013-01-22,33,2,11,22,2,6,17,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,2,0,1
2012020052,2013-01-25,28,1,14,27,0,7,23,0,5,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,2,1,1,2,0,0,2,0,0
2012020067,2013-01-27,50,1,10,38,1,8,25,1,6,3,0,1,3,0,1,1,0,1,0,0,0,0,0,0,5,0,1,4,0,1,4,0,1
2012020094,2013-01-31,28,3,16,21,3,14,19,2,14,2,0,3,2,0,3,2,0,3,0,0,0,0,0,0,2,0,0,1,0,3,1,0,3
2012020108,2013-02-02,49,0,5,37,0,3,27,0,3,5,0,0,4,0,0,4,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0
2012020128,2013-02-05,35,1,11,27,1,5,21,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2012020142,2013-02-07,24,0,6,19,0,3,17,0,2,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
2012020155,2013-02-09,16,2,15,15,1,13,12,1,12,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,2,0,1,2,0,1
2012020178,2013-02-12,27,0,10,19,0,7,17,0,7,1,0,2,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2012020198,2013-02-15,45,0,1,37,0,1,27,0,1,2,0,1,2,0,1,1,0,1,0,0,0,0,0,0,4,0,0,2,0,0,2,0,0
2012020219,2013-02-18,38,2,3,36,2,1,28,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0
2012020239,2013-02-21,25,0,16,16,0,14,12,0,7,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
2012020446,2013-03-21,46,1,8,33,1,7,13,1,4,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,4,0,2,4,0,2
2012020461,2013-03-23,43,2,2,29,1,1,17,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,1,0,0
2012020473,2013-03-25,31,1,2,20,1,0,14,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,3,0,0,3,0,0
2012020502,2013-03-29,36,1,7,29,1,5,20,0,5,4,0,0,4,0,0,3,0,0,2,0,0,0,0,0,1,0,0,1,0,1,1,0,1
2012020514,2013-03-30,47,1,3,33,1,2,27,1,2,2,0,1,2,0,1,2,0,1,0,0,0,0,0,0,1,0,1,4,0,0,4,0,0
2012020522,2013-04-01,26,0,3,22,0,2,19,0,2,2,0,1,2,0,1,1,0,1,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0
2012020543,2013-04-04,42,1,2,29,1,1,25,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0
2012020563,2013-04-06,28,2,6,21,1,4,15,1,2,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2012020575,2013-04-07,37,1,4,26,1,2,23,1,2,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,6,0,0,3,0,0,3,0,0
2012020591,2013-04-10,24,7,3,18,6,2,12,4,2,2,2,1,2,2,1,2,1,1,0,0,0,0,0,0,0,2,0,1,1,0,1,1,0
2012020605,2013-04-12,23,0,1,15,0,1,11,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
2012020625,2013-04-15,24,0,7,16,0,3,10,0,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
2012020648,2013-04-18,36,0,6,25,0,4,19,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,3,0,1
2012020660,2013-04-20,19,0,3,14,0,1,12,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0
2012020671,2013-04-21,29,0,11,24,0,6,17,0,5,3,0,1,3,0,1,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
2012020681,2013-04-23,24,1,4,20,1,4,18,0,3,1,0,1,1,0,1,1,0,1,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0
